band_number_from_isc,first_nation,address,phone,fax,longitude,latitude
260,Black River First Nation,Box 190 O'Hanly P.O. Manitoba R0E 1K0,204-367-4411,204-367-2000,-96.30991,50.830359999999985
261,Brokenhead Ojibway Nation,"P.O. Box 180 Scanterbury MB, R0E 1W0",204-766-2494,204-766-2021,-96.61636,50.366859999999974
262,Sagkeeng First Nation,"P.O. Box 3, Fort Alexander MB, R0E 0P0",204-367-2287,204-367-4315,-96.30951946,50.61128752
263,Hollow Water First Nation,"PO Box 2561, Wanipigow MB, R0E 2E0",204-363-7278,204-363-7418,-96.30228976,51.192384679999975
264,Fisher River Cree Nation,"P.O. Box 367, Koostatak MB, R0C 1S0",204-645-2171,204-645-2653,-97.38721232,51.437889412000004
265,Buffalo Point First Nation,"P.O. Box 1037, Buffalo Point MB, R0A 2W0",204-437-2133,204-437-2368,-95.23788,49.01229999999998
266,Berens River First Nation,"PO Box 131, Berens River MB, R0B 0A0",204-382-2161,204-382-2297,-96.96748281,52.343128623999974
267,Bloodvein First Nation,"General Delivery, Bloodvein MB, R0C 0J0",204-395-2148,204-395-2099,-96.69692728,51.78341634499998
268,Kinonjeoshtegon First Nation,"P.O. Box 210, Dallas MB R0C 0S0",204-394-2255,204-394-2305,-97.3109533,51.91709498300003
269,Peguis First Nation,"P.O. Box 10, Peguis MB, R0C 3J0",204-645-2359,204-645-2360,-97.55859,51.30547999999999
270,Little Grand Rapids First Nation,"P.O. Box 130, Little Grand Rapids MB,R0B 0V0",204-397-2264,204-397-2340,-95.45558498,52.01802833800002
271,Lake Manitoba Treaty 2 FN,"P.O. Box 1250, Lake Manitoba, MB, R0C 3K0",204-768-3492,204-768-3036,-98.60700357,50.94717514199999
272,Pinaymootang First Nation,"Box 319, Fairford MB, R0C 0X0",204-659-5705,204-659-2068,-98.68369137,51.573787418999984
273,Roseau River Anishinabe FN,"P.O. Box 30, Ginew MB, R0A 2R0",204-427-2312,204-427-2584,-97.23978551,49.133229270000015
274,Little Saskatchewan First Nation,"P.O. Box 98, Gypsumville, Manitoba R0C 1J0",204-659-4584,204-659-2071,-98.56038123,51.683319805999986
275,Lake St. Martin First Nation,"PO Box 69, Gypsumville MB, R0C 1J0","204-659-4539
948-1119","204-659-2034
948-1142",-98.43515634,51.748530459999984
